acquired,plot,blue,green,red,nir,row,panel,Date,Treatment,Block,PM_severity,DM_severity,total_dis,geometry,centroid
20220622,12,0.2843656710215977,0.36394146510532926,0.34616572516305105,0.7066793441772461,1,12,2022-06-22,11.0,PM,0.0,0.075,0.575,"POLYGON ((-77.01622493421546 42.87848145926097, -77.0163126942097 42.87849793926196, -77.01630964639764 42.87850665801316, -77.01622188639168 42.878490178010075, -77.01622493421546 42.87848145926097))",POINT (-77.0162672903035 42.87849405863662)
20220622,13,0.27437063852945964,0.35226240158081057,0.3362193425496419,0.6654069900512696,1,13,2022-06-22,28.0,PM,0.0,0.1,1.0,"POLYGON ((-77.0163126942097 42.87849793926196, -77.01639960420395 42.878514359262944, -77.01639655640352 42.878523078016194, -77.01630964639764 42.87850665801316, -77.0163126942097 42.87849793926196))",POINT (-77.01635462530355 42.878510508638634)
20220622,14,0.2912365485881937,0.36710982487119476,0.3598671617179081,0.6543792198444235,1,14,2022-06-22,16.0,PM,0.0,0.0,0.6,"POLYGON ((-77.01639960420395 42.878514359262944, -77.01648440419838 42.878530209263886, -77.01648135640927 42.87853892801913, -77.01639655640352 42.878523078016194, -77.01639960420395 42.878514359262944))",POINT (-77.01644048030364 42.87852664364061)
20220622,15,0.2647705078125,0.3399529292665679,0.3197118824925916,0.6669428595181169,1,15,2022-06-22,1.0,PM,0.0,0.15,1.9,"POLYGON ((-77.01648440419838 42.878530209263886, -77.01657162419265 42.878547489264875, -77.01656857641517 42.8785562080222, -77.01648135640927 42.87853892801913, -77.01648440419838 42.878530209263886))",POINT (-77.01652649030365 42.87854320864258)
20220622,16,0.2795062834216702,0.34909962069603706,0.3289810303718813,0.6404043628323463,1,16,2022-06-22,21.0,PM,0.0,0.1,1.25,"POLYGON ((-77.01657162419265 42.878547489264875, -77.01666455418655 42.878565659265924, -77.01666150642144 42.878574378025434, -77.01656857641517 42.8785562080222, -77.01657162419265 42.878547489264875))",POINT (-77.01661656530372 42.87856093364467)
20220622,17,0.2829560935497284,0.36268821358680725,0.35140469670295715,0.7090521454811096,2,1,2022-06-22,10.0,PM,0.0,0.0,2.9,"POLYGON ((-77.01526519363786 42.878326687245526, -77.01535716363179 42.87834444724656, -77.01535413697367 42.878353169984464, -77.01526216696745 42.87833540998127, -77.01526519363786 42.878326687245526))",POINT (-77.01530966530248 42.878339928614515)
20220622,18,0.2866079466683524,0.3686460426875523,0.36041535649980816,0.6821582657950265,2,2,2022-06-22,32.0,PM,0.0,0.0,1.65,"POLYGON ((-77.01535716363179 42.87834444724656, -77.01544010362635 42.878360347247515, -77.0154370769793 42.87836906998736, -77.01535413697367 42.878353169984464, -77.01535716363179 42.87834444724656))",POINT (-77.01539712030262 42.87835675861655)
20220622,19,0.2765523647439891,0.36576655815387593,0.35487885310732087,0.6904129817568022,2,3,2022-06-22,7.0,PM,0.0,0.0,0.3,"POLYGON ((-77.01544010362635 42.878360347247515, -77.01552583362069 42.87837611724848, -77.01552280698512 42.87838483999034, -77.0154370769793 42.87836906998736, -77.01544010362635 42.878360347247515))",POINT (-77.01548145530275 42.8783725936185)
20220622,20,0.276586651802063,0.3575300872325897,0.3455424904823303,0.6983403563499451,2,4,2022-06-22,29.0,PM,0.0,0.025,1.625,"POLYGON ((-77.01552583362069 42.87837611724848, -77.01561655361472 42.878393657249504, -77.01561352699126 42.878402379993496, -77.01552280698512 42.87838483999034, -77.01552583362069 42.87837611724848))",POINT (-77.01556968030273 42.87838924862052)
20220622,21,0.2903737035290948,0.3666943846077755,0.3600786143335803,0.7005191671437231,2,5,2022-06-22,36.0,PM,0.0,0.0,1.1,"POLYGON ((-77.01561655361472 42.878393657249504, -77.01570177360908 42.87840924725045, -77.01569874699705 42.87841796999645, -77.01561352699126 42.878402379993496, -77.01561655361472 42.878393657249504))",POINT (-77.01565765030291 42.878405813622564)
