acquired,plot,blue,green,red,nir,veg_smr,savi_exp,savi,msavi,evi,arvi,gri,ndvi,nir_blue,nir_green,red_blue,green_red,green_blue,row,panel,Date,Treatment,Block,PM_severity,DM_severity,total_dis,geometry,centroid,PM_inc,DM_inc,DMCast_events,GDM_sev,GDM_inc,predicted,predict_correct
20210816,39,0.0163464290755135,0.0682857164314815,0.0472392865589686,0.2728856972285679,0.5342800276620048,0.4215942110334124,0.4128282751355852,0.2059010778154645,0.3934847286769322,0.5560902867998395,1.46340697152274,0.7059955596923828,0.8880113874162946,0.6001770836966378,0.5023728098188128,0.1861863817487444,0.625284126826695,3,7,2021-08-17,11.0,DM,0.1,7.1,7.249999999999999,"POLYGON ((-77.01579154460191 42.87844946932359, -77.01587709459628 42.87846557932455, -77.01587404601023 42.878474297930474, -77.01578849600443 42.878458187927485, -77.01579154460191 42.87844946932359))",POINT (-77.01583279530308 42.8784618836266),5.0,35.0,74,low,high,low,correct
20210816,40,0.0145133326450983,0.065006669362386,0.0444833318392435,0.2580766518910726,0.5119278271993001,0.4026216189066569,0.3992470423380533,0.1829547087351481,0.3770776430765787,0.5533804575602214,1.4759017944335937,0.7070088704427083,0.8946351369222005,0.5980952580769857,0.5241150538126628,0.1909747123718261,0.6464925130208333,3,8,2021-08-17,14.0,DM,0.0,13.25,13.3,"POLYGON ((-77.01587709459628 42.87846557932455, -77.01596324459061 42.878481699325526, -77.01596019601607 42.87849041793347, -77.01587404601023 42.878474297930474, -77.01587709459628 42.87846557932455))",POINT (-77.01591864530316 42.878477998628576),0.0,40.0,74,high,high,low,incorrect
20210816,41,0.0156516125125269,0.0673225848905501,0.0476612890920331,0.2633580853862147,0.5124490799442414,0.402649664109753,0.3990860600625315,0.1873138796898626,0.3766006654308688,0.5365732869794292,1.4277511104460685,0.6947272516066029,0.8893342787219632,0.593598888766381,0.5300796262679561,0.1745427346998645,0.6392998233918221,3,9,2021-08-17,4.0,DM,0.0,32.7,32.7,"POLYGON ((-77.01596324459061 42.878481699325526, -77.0160529845847 42.87849893932652, -77.01604993602213 42.87850765793659, -77.01596019601607 42.87849041793347, -77.01596324459061 42.878481699325526))",POINT (-77.0160065903032 42.878494678630595),0.0,90.0,74,high,high,low,incorrect
20210816,42,0.0159464286906378,0.0683857159955161,0.0498642878873007,0.2536357130323137,0.4818781103406633,0.3773331642150879,0.3805741242000034,0.165468624659947,0.3555637768336704,0.5048792021615165,1.3873331887381417,0.6727157320295062,0.8830670629228864,0.5761436734880719,0.5344694341932025,0.160217319216047,0.6357633726937431,3,10,2021-08-17,9.0,DM,0.0,20.7,20.7,"POLYGON ((-77.0160529845847 42.87849893932652, -77.01613963457898 42.878515279327495, -77.016136586028 42.87852399793961, -77.01604993602213 42.87850765793659, -77.0160529845847 42.87849893932652))",POINT (-77.01609478530331 42.87851146863263),0.0,85.0,74,high,high,low,incorrect
20210816,43,0.0137827591649417,0.0654344846462381,0.0462551692436481,0.2517379399003653,0.4924544630379512,0.3849984859598094,0.3863048553466797,0.1680504042526771,0.360279839614342,0.5244007110595703,1.4250533005286907,0.690432910261483,0.8972518526274582,0.5878684602934738,0.5580491690800108,0.1742114034192315,0.6635070669239965,3,11,2021-08-17,18.0,DM,1.2,26.95,28.15,"POLYGON ((-77.01613963457898 42.878515279327495, -77.01622501457337 42.878531369328435, -77.0162219660338 42.87854008794258, -77.016136586028 42.87852399793961, -77.01613963457898 42.878515279327495))",POINT (-77.0161808003034 42.878527683634616),15.0,80.0,74,high,high,low,incorrect
20210816,44,0.0116633335749308,0.0643266638120015,0.0424299995104471,0.2611500104268392,0.5284788449605305,0.4160239219665527,0.408324400583903,0.1923417091369628,0.3828556378682454,0.563183848063151,1.5391620635986327,0.7212515513102213,0.9151793797810872,0.6050835291544596,0.5925075531005859,0.2094631512959798,0.7062047322591146,3,12,2021-08-17,16.0,DM,0.35,19.25,19.6,"POLYGON ((-77.01622501457337 42.878531369328435, -77.0163129745676 42.87854819932944, -77.01630992603975 42.87855691794567, -77.0162219660338 42.87854008794258, -77.01622501457337 42.878531369328435))",POINT (-77.01626747030349 42.87854414363661),5.0,85.0,74,high,high,low,incorrect
20210816,45,0.0138566662867863,0.0661266684532165,0.0456633369127909,0.267163340250651,0.5300281842549642,0.4171470324198404,0.4088295936584473,0.1980273087819417,0.3852430979410807,0.5511238098144531,1.466171137491862,0.7086472829182943,0.9019636154174804,0.603412946065267,0.5595208485921224,0.1871261755625407,0.6696773529052734,3,13,2021-08-17,11.0,DM,0.0,2.1,2.1,"POLYGON ((-77.0163129745676 42.87854819932944, -77.01640065456179 42.87856452933044, -77.01639760604569 42.87857324794875, -77.01630992603975 42.87855691794567, -77.0163129745676 42.87854819932944))",POINT (-77.01635529030358 42.87856072363865),0.0,10.0,74,low,low,low,correct
20210816,46,0.0154428567205156,0.0686571470328739,0.0506928605692727,0.2566678694316319,0.4873005322047642,0.380852256502424,0.3828639643532889,0.1696682657514299,0.3563312462397984,0.4996153627123151,1.370058468409947,0.6715683937072754,0.8882165636335101,0.5786795616149902,0.5610425131661552,0.1545620475496564,0.6520113263811383,3,14,2021-08-17,5.0,DM,0.6,1.35,2.5,"POLYGON ((-77.01640065456179 42.87856452933044, -77.01648429455629 42.87858037933136, -77.01648124605134 42.87858909795165, -77.01639760604569 42.87857324794875, -77.01640065456179 42.87856452933044))",POINT (-77.01644095030365 42.878576813640635),30.0,10.0,74,low,low,low,correct
20210816,47,0.0112387095728228,0.0660161279862926,0.0427870942700293,0.2655677487773279,0.5364857950518208,0.4227553952124811,0.4134251994471396,0.1999257456871771,0.387316426923198,0.5634318320981918,1.5562699840914818,0.7235848826746787,0.9205297039401148,0.6025232499645602,0.6134957959575038,0.2162349147181357,0.7262890108170048,3,15,2021-08-17,3.0,DM,2.65,8.45,11.1,"POLYGON ((-77.01648429455629 42.87858037933136, -77.01657338455043 42.87859736933237, -77.01657033605737 42.87860608795477, -77.01648124605134 42.87858909795165, -77.01648429455629 42.87858037933136))",POINT (-77.0165273153037 42.87859323364261),20.0,45.0,74,low,high,low,correct
20210816,48,0.0105200012524922,0.0659166653951009,0.0443866610527038,0.2811366717020671,0.5703641255696614,0.45011781056722,0.4301591873168945,0.226929505666097,0.4033181190490723,0.5657838185628256,1.5164541880289713,0.7278479894002279,0.9283177693684896,0.6201917012532552,0.6410068511962891,0.2019140084584554,0.7395114898681641,3,16,2021-08-17,7.0,DM,2.5,0.8,3.3,"POLYGON ((-77.01657338455043 42.87859736933237, -77.01666505454439 42.878614339333424, -77.0166620060636 42.878623057957995, -77.01657033605737 42.87860608795477, -77.01657338455043 42.87859736933237))",POINT (-77.01661769530384 42.87861021364472),35.0,15.0,74,low,low,low,correct
